cell_id,element,value,source_doc,source_section,quote,local_file,accession,date_pulled,extracted_by,verified_by,status
1.11,Track record & manager tenure,"Fund inception 09/30/14 (Class 4 inception date; the performance table's dagger footnote marks 09/30/14 as the Fund's inception) - approx. 11.5-year track record at FYE 2026-03-31. Classes 1-3 incepted 10/27/15; Class 5 established 07/31/20 (same date the classes were renamed from Brokerage/Advisory/Institutional/Institutional Plus). Adviser: Pantheon Ventures (US) LP (Delaware LP; AMG indirectly owns a majority). Named portfolio managers with printed tenure: Kevin Dunwoodie and Jeff Miller, PMs of the Fund since February 2019 (both joined Pantheon 2008); Amyn Hassanally since July 2024; Matt Cashion, Imogen Richards, Cullen Wilson also listed (no PM start dates printed). KPMG auditor since 2021.","N-CSR FY2026 (filed 2026-06-09) performance table; N-2 filed 2026-07-30, Portfolio Management section",Average Annual Total Returns table + footnotes; N-2 MANAGEMENT OF THE FUND - Portfolio Management,"Date reflects inception date of the Fund, not the Index.",,"multiple (2), data/citations/amg_pantheon.json",2026-08-14,Claude Code (2026-08-14),,extracted-unverified
2.1,Management fee (rate AND base),"RATE: 0.70% annual. BASE: net assets as of the end of each month, determined before accrual of the fee being calculated and before purchases/repurchases/distributions. WHERE CHARGED: paid by the Master Fund AND by each Subsidiary (Corporate Subsidiary, Lead Fund) - each at 0.70% of its own net assets - borne indirectly by Investors. The Fund (feeder) has an identical 0.70% fee that the Investment Manager contractually waives for any period in which the Fund's only investment security is another registered investment company; FY2026 waiver $41,858,957, not recoupable. Master-level 'Investment advisory and management fees' expense FY2026: $77,833,845.","N-CSR FY2026 (filed 2026-06-09), Fund Note 2 and Master Fund Note 2; N-2 fee-table footnote (2)",Agreements and Transactions with Affiliates (Fund and Master Fund notes); Consolidated Statement of Operations,Investment management fees are paid directly by each of the Master Fund and the Subsidiaries to the Investment Manager at the annual rate of 0.70% of the net assets,,"multiple (2), data/citations/amg_pantheon.json",2026-08-14,Claude Code (2026-08-14),,extracted-unverified
2.2,Incentive fee terms,"Documented absence at Fund/Master level: the N-2 fee tables for all five classes print only Management Fee, Distribution and/or Service Fee, Other Expenses, and Acquired Fund Fees and Expenses - no incentive or performance fee line. Every 'incentive fee' occurrence in the N-2 (7 hits, checked 2026-08-15) refers to the underlying Investment Funds, which generally charge 10% to 20% of net profits as carried interest (captured in 2.5); AFFE explicitly excludes those performance-based amounts.","N-2 filed 2026-07-30 (Prospectus dated 2026-07-31), SUMMARY OF FUND EXPENSES + footnotes (5)/(6)",SUMMARY OF FUND EXPENSES (Class 1 table; Class 2-5 table),"Some or all of the Investment Funds in which the Master Fund intends to invest charge carried interests, incentive fees, or allocations based on the Investment Funds' performance.",data/raw/amg_pantheon/N-2_2026-07-30_d155376dn2.htm,0000950130-26-000196,2026-08-14,Claude Code (2026-08-14),,extracted-unverified
2.3,Total expense ratio & waivers,"N-2 fee tables, Total Annual Expenses (as % of net assets attributable to Units): Class 1 3.13%, Class 2 2.88%, Class 3 2.63%, Class 4 2.38%, Class 5 3.38% - each = 0.70% management + 0.75/0.50/0.25/0.00/1.00% distribution-service + 0.87% Other Expenses + 0.81% AFFE; no waiver line in the current tables. Expense cap: Expense Limitation and Reimbursement Agreement holds total annual operating expenses (exclusive of enumerated 'Excluded Expenses' incl. underlying fund fees/AFFE, credit-facility costs, taxes, distribution fee) to 1.45% per annum of month-end net assets; 36-month recoupment window; FY2026 saw no reimbursement or recoupment and nothing is subject to recoupment. Feeder-level highlight ratios (FY2026 net: 0.86/0.61/0.36/0.11/1.11% by class) exclude the Fund's indirect share of Master Fund expenses (1.19% of average investment balance, plus 0.21% current tax benefit and (0.11)% deferred tax expense).","N-2 filed 2026-07-30, SUMMARY OF FUND EXPENSES; N-CSR FY2026 (filed 2026-06-09), Note 2 (Expense Cap) and Note 1c",SUMMARY OF FUND EXPENSES; Agreements and Transactions with Affiliates; Financial Highlights ratios,The following table illustrates the expenses and fees that the Fund expects to incur and that Investors can expect to bear directly or indirectly.,,"multiple (2), data/citations/amg_pantheon.json",2026-08-14,Claude Code (2026-08-14),,extracted-unverified
2.4,AFFE,"AFFE 0.81% for every class (Class 1 table and Class 2-5 table identical). Reflects operating expenses of the Investment Funds (management fees, administration fees, professional and other direct fixed fees); excludes an estimated 0.15% of underlying interest expense/financing costs - including it would raise AFFE to 0.96%; also excludes performance-based fees/allocations calculated on realized (or realized+unrealized) gains. Based on historic returns of Investment Funds held, which may change substantially.","N-2 filed 2026-07-30 (Prospectus dated 2026-07-31), fee-table footnote (5) (Class 1) / (6) (Class 2-5)",SUMMARY OF FUND EXPENSES footnotes,"The 0.81% shown as ""Acquired Fund Fees and Expenses"" reflects operating expenses of the Investment Funds...would increase Acquired Fund Fees and Expenses to 0.96%.",data/raw/amg_pantheon/N-2_2026-07-30_d155376dn2.htm,0000950130-26-000196,2026-08-14,Claude Code (2026-08-14),,extracted-unverified
2.5,Underlying GP economics,"Printed underlying-fund economics: Investment Funds generally charge a management fee of 1.00% to 2.00% and 10% to 20% of net profits as a carried interest allocation. Mitigant printed in the N-CSR SOI narrative: direct investments and co-investments, unlike Investment Funds, generally do not bear an additional layer of fees or bear significantly reduced fees - and co-investments + secondaries are the bulk of the portfolio ($2.37B + $3.14B of $6.66B total investments at 3/31/2026).","N-2 filed 2026-07-30, fee-table footnote (5); N-CSR FY2026 (filed 2026-06-09), Master Fund SOI narrative",SUMMARY OF FUND EXPENSES footnote; Consolidated Schedule of Investments narrative,"generally charge a management fee of 1.00% to 2.00%, and 10% to 20% of net profits as a carried interest allocation",,"multiple (2), data/citations/amg_pantheon.json",2026-08-14,Claude Code (2026-08-14),,extracted-unverified
2.6,Loads & servicing fees,"Sales loads: none for Classes 1-4; Class 5 max front-end sales load 3.50% (FY2026: Class 5 investors paid $2,274,007 in loads to distributor/sub-distributor/selling agents). Rule 12b-1 distribution and service plan: 0.75% (Class 1), 0.50% (Class 2), 0.25% (Class 3), 1.00% (Class 5) annually of average monthly net assets; Class 4 pays no distribution fee. Administrator (AMG Funds LLC) fee: 0.05% per annum of average monthly net assets, minimum $86,000/yr. Financial intermediaries may separately charge transaction fees on Class 2/3/4 purchases.","N-CSR FY2026 (filed 2026-06-09), Notes 1 and 2; N-2 filed 2026-07-30, Class 2-5 fee table footnote (1)","Note 1 (Class 5 sales load); Note 2 (12b-1 Plan, Administration Agreement)","The Plan authorizes payments to the Distributor of 0.75%, 0.50%, 0.25%, and 1.00% annually of the average monthly net assets",,"multiple (2), data/citations/amg_pantheon.json",2026-08-14,Claude Code (2026-08-14),,extracted-unverified
2.7,Early repurchase fee,"2.00% early repurchase fee, charged on repurchase of Units at any time prior to the day immediately preceding the one-year anniversary of purchase (first-in-first-out basis); payable to and retained by the Fund for remaining Investors; Board may waive where in the Fund's best interests without unfair discrimination. Actually collected: FY2026 $171,912; FY2025 $103,125 (netted against cost of Units tendered).","N-CSR FY2026 (filed 2026-06-09), Note 1g Capital Stock; N-2 filed 2026-07-30, fee-table footnote (1)/(2)",Note 1g; SUMMARY OF FUND EXPENSES - Maximum early repurchase fee 2.00% all classes,a 2.00% early repurchase fee will be charged by the Fund...prior to the day immediately preceding the one-year anniversary of the Investor's purchase of the Units,,"multiple (2), data/citations/amg_pantheon.json",2026-08-14,Claude Code (2026-08-14),,extracted-unverified
2.8,CIT fee schedule,"Not a collective investment trust: AMG Pantheon Fund, LLC is a Delaware LLC registered under the 1940 Act as a closed-end fund, offered by prospectus in five unit classes. No CIT fee schedule exists.",n/a (structural; wrapper per N-CSR Note 1),n/a,,data/raw/amg_pantheon/N-CSR_2026-06-09_d138225dncsr.htm,0001193125-26-264017,2026-08-14,Claude Code (2026-08-14),,n/a - CIT only
2.9,Fee peer percentile,"Cohort placement (evergreen private equity cohort): mgmt fee: 10th percentile of cohort (n=5), below the median of 1.4 | expense ratio (bases differ, see notes): 30th percentile of cohort (n=5), below the median of 3.19 | repurchase cap: 50th percentile of cohort (n=5), at the median of 5. Statistics and per-member values are in the cohort artifact, membership rationales in the typed facts.",cohort artifact (evergreen private equity cohort),statistics (mid-rank percentile phrasing),,,,2026-09-04,Tark computed-cells writer (as-of 2026-09-04),,computed
2.10,Value justification,Workflow cell: the value-for-fees justification synthesizes the evidenced fee stack (0.70% management fee at Master+Subsidiary level with the feeder fee fully waived; no fund-level incentive fee; 2.38%-3.38% Total Annual Expenses by class incl. 0.81% AFFE; 1.45% expense cap on covered expenses; 12b-1 0-1.00%; Class 5 3.50% load; 2.00% early repurchase fee). The determination itself is the committee's.,n/a (workflow cell),n/a,,,,2026-08-14,Claude Code (2026-08-14),,"n/a - not publicly available: requires the plan committee's own value-for-fees determination - workflow output, not public product data (inputs live in cells 2.1-2.7)"
3.1,Wrapper liquidity terms,"Wrapper liquidity: unlisted tender-offer fund; no unitholder redemption right - repurchases only via written tenders at times/amounts/terms set by the Board in its sole discretion. CADENCE: Adviser and Sponsor anticipate recommending quarterly offers (SC TO-I: 'Pantheon expects that it will recommend to the Board that the Fund purchase Units from Members quarterly. However, the Fund is not required to conduct tender offers.'). CAP: expected up to 5% per offer. BASE: 5% of net assets per the N-2 (the live Aug-2026 offer is sized at approx. 5% of Units outstanding). MECHANISM: Rule 13e-4 issuer tender at class NAV on the Valuation Date; 2.00% early repurchase fee inside year one; subscriptions monthly (first business day at NAV). SPV backstop if no >=5% repurchase within two years of a written request (see 3.2).","N-2 filed 2026-07-30, Summary of Terms + REPURCHASES OF UNITS AND TRANSFERS; SC TO-I (filed 2026-08-03), Item 5(e)","Repurchases of Units and Transfers; SC TO-I Items 2, 4, 5",recommend to the Board that the Fund offer to repurchase Units from Investors on a quarterly basis...up to 5% of the net assets of the Fund,,"multiple (2), data/citations/amg_pantheon.json",2026-08-14,Claude Code (2026-08-14),,extracted-unverified
3.2,Repurchase mechanics,"Mechanics per live offer (SC TO-I filed 2026-08-03): tenders due 11:59 p.m. ET 2026-08-28; purchase price = class NAV as of Valuation Date 2026-09-30 (approx. one month after expiration); payment in cash or a non-interest-bearing uncertificated debt obligation for the Valuation-Date value; withdrawal rights until expiration; some Members must route the Letter of Transmittal via their Financial Advisor. N-2: Board-determined written tenders with notice to Investors; oversubscription handled by extension, pro-rata repurchase, or other permitted action; Fund tenders run contemporaneously with Master Fund tenders (feeder can only exit via Master repurchases). LLC Agreement backstop: if an Investor's written request is not met by a repurchase offer of at least 5% of net assets within two years, the Fund must offer contribution of Units to an SPV that liquidates at least 90% of assets within three fiscal years (no advisory fees after that period).","SC TO-I (filed 2026-08-03), Items 4-5; N-2 filed 2026-07-30, REPURCHASES OF UNITS AND TRANSFERS",SC TO-I Item 4 Terms of the Transaction; N-2 repurchase mechanics + SPV provision,"If a repurchase offer is oversubscribed by Investors who tender Units, the Fund may extend the repurchase offer, repurchase a pro rata portion of the Units tendered",,"multiple (2), data/citations/amg_pantheon.json",2026-08-14,Claude Code (2026-08-14),,extracted-unverified
3.3,Repurchase history,"As disclosed (recorded 2026-08-15): live offer (launched 2026-08-03, expires 2026-08-28) for up to 11,957,272 Units, approx. 5% of the 239,145,444 Units outstanding at 5/31/2026. Completed-tender dollars from N-CSR capital-transaction tables - FY2026 cost of Units tendered $308,275,898 total (Class 1 $147,693,439; Class 2 $48,318,958; Class 3 $76,966,539; Class 4 $1,013,376; Class 5 $34,283,586; 11,349,693 units); FY2025 $133,222,204 total. Balance-sheet 'Payable for Fund Units tendered' $160,579,879 at 3/31/2026. No proration or oversubscription event is disclosed in the on-disk documents; tenders remained a small share of net assets ($6.40B at FYE2026) alongside FY2026 subscriptions of $1.44B.","SC TO-I (filed 2026-08-03), Item 2(b); N-CSR FY2026 (filed 2026-06-09), Note 1g capital transactions + Statement of Assets and Liabilities","SC TO-I Item 2; Note 1g Unit transactions by class (FY2026, FY2025)","The Units subject to the Offer represent approximately 5% of the Fund's Units outstanding as of May 31, 2026.",,"multiple (2), data/citations/amg_pantheon.json",2026-08-14,Claude Code (2026-08-14),,extracted-unverified
3.4,Portfolio liquidity profile,"Master Fund holdings attributes table at 3/31/2026: every private investment category 'Not Redeemable', redemption frequency/notice N/A, remaining lives up to 12 years. Fair value $6,079,798,952 across Buyout $4,982.9M, Growth Equity $581.2M, Venture $186.1M, Infrastructure $169.0M, Private Debt $97.6M, Special Situations $50.0M, Real Assets $13.0M; unfunded commitments $1,761,852,575 (incl. $444.7M for funds whose first capital-call dates are still undetermined). Liquid layer: Level 1 short-term investments in other investment companies $533.3M + common stock $48.1M (incl. $48.1M restricted shares = 0.7% of Fund net assets); Fund-level cash and escrow $228.6M. Co-investments have no contractual lives and terminate when the underlying investment is sold.","N-CSR FY2026 (filed 2026-06-09), Master Fund Note 3 attributes table + Consolidated SOI",Notes to Consolidated Financial Statements - investment attributes table; fair value hierarchy table,"A listing of the Co-Investments, Primary Private Investment Funds and Secondary Private Investment Funds held by the Master Fund and their attributes, as of March 31, 2026",data/raw/amg_pantheon/N-CSR_2026-06-09_d138225dncsr.htm,0001193125-26-264017,2026-08-14,Claude Code (2026-08-14),,extracted-unverified
3.5,TDF/CIT liquidity sleeve,"No TDF/CIT wrapper exists for this product in the on-disk filings; liquidity-sleeve design is a plan-vehicle question, not an AMG Pantheon disclosure.",n/a (structural),n/a,,,,2026-08-14,Claude Code (2026-08-14),,n/a - CIT only
3.6,Fund leverage & facilities,"$1.5 billion revolving credit facility at the Master Fund (amended and restated 2025-12-18, up from $800M, via syndication with three additional lenders plus an increased existing commitment); secured by Master Fund assets incl. Corporate Subsidiary and Lead Fund assets (the Lead Fund was organized to facilitate the facility). Pricing: SOFR + 3.00% on drawn amounts; blended 0.94% commitment fee; 0.25% annual structuring fee; annual agency fee $50,000 + $5,000/lender. NOT UTILIZED during FY2026; credit facility fees of $12,275,481 nonetheless expensed at the Master. Purpose: satisfy repurchases, meet capital calls/unfunded commitments, temporary liquidity. 1940 Act 300% asset-coverage requirement governs borrowings; over-commitment of capital beyond current assets is an authorized strategy.","N-CSR FY2026 (filed 2026-06-09), Master Fund Note 8 Credit Agreement + Consolidated Statement of Operations; N-2 filed 2026-07-30 (asset coverage)",Note 8 CREDIT AGREEMENT; INVESTMENT PROGRAM (Asset Coverage Requirement),The Master Fund has entered into a $1.5 billion credit facility to satisfy repurchase requests...the Master Fund has not utilized the line of credit,,"multiple (2), data/citations/amg_pantheon.json",2026-08-14,Claude Code (2026-08-14),,extracted-unverified
3.7,Plan participant liquidity demand,"Structural: AMG Pantheon filings disclose fund-side liquidity only (3.1-3.4, 3.6). Participant-level demand (separated-with-balance counts, payout elections) is plan data outside any AMG Pantheon document.",n/a (workflow cell),n/a,,,,2026-08-14,Claude Code (2026-08-14),,"n/a - plan-side workflow: participant liquidity demand comes from a specific plan's Form 5500/recordkeeper census, resolved per plan engagement, not from product filings"
3.8,Redemption stress test,"ILLUSTRATIVE redemption stress test (computed for all four reference plans): tail turnover x2, active turnover x1.5 vs base scenario, default sliders allocation 5% of plan, tail turnover 20%/yr, active turnover 5%/yr. Global management-consulting firm profit-sharing/401(k) plan (~$9.8B, NY): stressed demand 26.4% of the position vs 20% annual wrapper capacity, EXCEEDS annual wrapper capacity. Unmet demand rolls into later windows (gating-equivalent outcome). US industrial manufacturer 401(k) plan (~$0.8B, OH): stressed demand 12.3% of the position vs 20% annual wrapper capacity, within wrapper capacity (12.3% vs 20%) IF offers are not prorated. US casual-dining restaurant group 401(k) plan (~$1.6B, FL): stressed demand 16.7% of the position vs 20% annual wrapper capacity, within wrapper capacity (16.7% vs 20%) IF offers are not prorated. US media/technology company 401(k) plan (~$570M, New York): stressed demand 19.2% of the position vs 20% annual wrapper capacity, within wrapper capacity (19.2% vs 20%) IF offers are not prorated. Proration assumption: an oversubscribed offer is filled pro rata and the unfilled remainder waits for the next window.","liquidity match artifacts (AMG Pantheon Fund, LLC, four reference plans)",stressed scenario and scenario across the four plan match files,,,,2026-09-04,Tark computed-cells writer (as-of 2026-09-04),,computed
3.9,Product-to-plan liquidity match,"Structural liquidity verdict CONDITIONAL (typed facts, cells 3.1, 3.3, 2.7, plan-independent). Scenario verdicts (ILLUSTRATIVE, default sliders) by reference plan: Global management-consulting firm profit-sharing/401(k) plan (~$9.8B, NY): conditional-weak, US industrial manufacturer 401(k) plan (~$0.8B, OH): conditional, US casual-dining restaurant group 401(k) plan (~$1.6B, FL): conditional, US media/technology company 401(k) plan (~$570M, New York): conditional. STRUCTURAL GAP (narrowed): this plan is PARTIALLY participant-directed per its own Form 5500 codes (2H, no 2G/404(c) code filed). A trustee-directed sleeve could hold this wrapper directly (cell 3.5), and the daily-menu constraint applies only to the participant-directed portion, where the menu assumes daily liquidity whereas this wrapper deals quarterly with a 5% cap per quarter on outstanding shares. Early repurchase economics: 2% if held < 1 year (2.7). Relevant to participant-level churn (2.7). Per-plan reasons, capacity and stressed outcomes are in the liquidity match artifacts and on the Liquidity view.","liquidity match artifacts (AMG Pantheon Fund, LLC, four reference plans)","verdict, scenario verdict, missing facts and structural reasons across the four plan match files",,,,2026-09-04,Tark computed-cells writer (as-of 2026-09-04),,computed
4.1,Valuation policy & NAV frequency,"NAV FREQUENCY: monthly - NAV of the Master Fund and each class calculated as of close of business on the last business day of each calendar month, plus any distribution date and other Board-determined times ('Determination Dates'); expenses accrued monthly. POLICY: Rule 2a-5 - Board designated the Investment Manager as the Master Fund's Valuation Designee, subject to Board oversight with monthly and quarterly fair-value reports plus an annual process-adequacy assessment. Private Fund Investments valued at GP-reported capital-account balance (most recent balance sheet/capital statement) adjusted for capital activity, material events, and any third-party valuations; the Adviser's Valuation Committee reviews and may adjust; GP valuations may be revised after fiscal-year-end audits.","N-2 filed 2026-07-30, CALCULATION OF NET ASSET VALUE; N-CSR FY2026 (filed 2026-06-09), Master Fund Note 1a",CALCULATION OF NET ASSET VALUE; Note 1a VALUATION OF INVESTMENTS,The net asset value of the Master Fund and each Class of the Fund will be calculated...on the last business day of each calendar month,,"multiple (2), data/citations/amg_pantheon.json",2026-08-14,Claude Code (2026-08-14),,extracted-unverified
4.2,Fair-value hierarchy (L1/2/3),"Master Fund consolidated hierarchy at 3/31/2026: Level 1 $581,361,401 (common stock $48.1M + short-term other-investment-companies $533.3M); Level 2 $0; Level 3 $325,527,462 (co-investments $315.9M + primary funds $9.7M); investments valued at NAV as practical expedient $5,754,271,490 (co-investments $2,053.3M, primaries $562.8M, secondaries $3,138.2M); total investments $6,661,160,353 - i.e., 86.4% NAV-expedient, 4.9% Level 3. L3 roll-forward FY2026: transfers out $17,589,000 (increased price transparency), zero transfers in.","N-CSR FY2026 (filed 2026-06-09), Consolidated Schedule of Investments - hierarchy and L3 reconciliation tables",Consolidated Schedule of Investments (continued) - fair value hierarchy summary,"The following table summarizes the inputs used to value the Master Fund's investments by the fair value hierarchy levels as of March 31, 2026",data/raw/amg_pantheon/N-CSR_2026-06-09_d138225dncsr.htm,0001193125-26-264017,2026-08-14,Claude Code (2026-08-14),,extracted-unverified
